;Présentation;Site web;Téléphone;Secteur;Taille de l’entreprise;Siège social;Fondée en;Spécialisations;Name;Url;Image
80;"EY est un des leaders mondiaux de l’audit, du conseil, de la fiscalité et du droit, des transactions.
Partout dans le monde, notre expertise et la qualité de nos services contribuent à créer les conditions de la confiance dans l'économie et les marchés financiers. Nous faisons grandir les talents afin qu'ensemble, ils accompagnent les organisations vers une croissance pérenne. C’est ainsi que nous jouons un rôle actif dans la construction d'un monde plus juste et plus équilibré pour nos équipes, nos clients et la société dans son ensemble.

EY désigne les membres d'Ernst &Young Global Limited, dont chacun est une entité juridique distincte. Ernst & Young Global Limited, société britannique à responsabilité limitée par garantie, ne fournit pas de prestations aux clients. Retrouvez plus d'informations sur notre organisation sur www.ey.com.

Le contenu proposé par EY sur cette page fournit des informations générales et n’a pas vocation à se substituer à un accompagnement professionnel en matière comptable, fiscale ou autre. Pour toute question spécifique, prenez contact avec les interlocuteurs appropriés.";http://www.ey.com;;Comptabilité;10 001 employés et plus;;;Advisory, Assurance, Tax, Transactions, Audit, Mergers, M&A, Financial Services, Accounting, Professional Services, Law, Technology, Consulting, Data, Transformation, Strategy, Legal, Digital transformation, Legal, Growth et Managed Services;EY;https://www.linkedin.com/company/1073/about/;1073EY
81;"About Autoliv
Autoliv, Inc. is the worldwide leader in automotive safety systems, and through our subsidiaries we develop, manufacture and market protective systems, such as airbags, seatbelts, steering wheels and pedestrian protection systems for all major automotive manufacturers in the world. Our products save over 30,000 lives each year and prevent ten times as many severe injuries. 

Our close to 67,000 employees in 27 countries are passionate about our vision of Saving More Lives and quality is at the heart of everything we do. We have 14 technical centers, with 19 test tracks.  

In the world of automotive occupant safety, we were the first to introduce the two- and three-point seat belt system and airbags for front and side impacts. We were also the first to launch pyrotechnic belt pretensioners and pedestrian protection systems. 
 
Autoliv, Inc. is a publicly traded Delaware U.S.  corporation with its headquarters in Stockholm, Sweden. Sales in 2018 amounted to US $ 8,678 million. The shares are listed on the New York Stock Exchange (NYSE: ALV) and the Swedish Depository Receipts on Nasdaq Stockholm (ALIV sdb). For more information go to  www.autoliv.com. ";http://www.autoliv.com;;Fabrication de véhicules à moteur;10 001 employés et plus;;1953;Airbag, seatbelts, steering wheels,;Autoliv;https://www.linkedin.com/company/5949/about/;5949Au
82;"Airbus is a global leader in aeronautics, space and related services. In 2020, it generated revenues of €49.9 billion and employed a workforce of around 130,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world’s leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Airbus is an international pioneer in the aerospace industry and a leader in designing, manufacturing and delivering aerospace products, services and solutions to customers on a global scale. We believe that it’s not just what we make, but how we make it that counts; promoting responsible, sustainable and inclusive business practices and acting with integrity. Our people work with passion and determination to make the world a more connected, safer and smarter place, on the ground, in the sky and in space.

[RECRUITMENT FRAUD]
It has come to our attention that unauthorized individuals used the Airbus’ name and logos, to create false job opportunities on LinkedIn and other job portals to collect personal data from candidates applying for these positions. The contact details are used to send emails to solicit up-front fees for fake job interviews from interested individuals. Airbus is unable to reimburse any fees paid.
Airbus does not control any third-party websites and platforms, and makes no warranty or representation regarding, and is not responsible for, any third-party websites or platform or the content related to these. 

We advise our audience to be vigilant about these recruitment scam activities and are currently raising awareness on all our official platforms. Please note that Airbus will never ask for payment for an interview. If you have any questions or doubt about the authenticity of an email, please contact emsom@airbus.com.";http://www.airbus.com;;Fabrication de composants pour l’industrie aéronautique et aérospatiale;10 001 employés et plus;;2014;Aerospace, Defence, Space, Innovation, Cyber Security, IT et Engineering;Airbus;https://www.linkedin.com/company/2734/about/;2734Ai
83;"Mozaik is a leading marketing and communications agency, with extensive experience in providing strategies that are creative, innovative, sophisticated and results oriented.
 
Our in depth understanding of local markets and our team’s unique combination of marketing expertise, leading edge technical intelligence and inspiring creativity, ensure the delivery of high-end online and offline experiences and increased return on investment.
 
With both a strategic and creative approach, we make every effort to enhance the renown and impact of our clients serving their ultimate goals of growth, success, and access to previously untapped markets.

We offer all-inclusive services to our client portfolio, varying from Web Design & Development to Web applications and Brand Identity Development to Online Marketing Campaigns.";http://www.mozaik.com/;+302103227400;Services de publicité;11-50 employés;Athens, Athens;2002;web development, web design, seo, sem, online marketing, branding, print, ppc, media planning, social media, reputation management et online revenue management;Mozaik;https://www.linkedin.com/company/92708/about/;9270Mo
84;"Vision Solutions is a dynamic startup providing enterprise software with service offerings in:

- Customer Relationship Management (CRM)
- Business Process Management (BPM)
- Intelligent Transport Optimization Systems
- Mobile business applications

The company offers vertical fully specialized and customizable solutions for: 

 - Health & safety
 - Luxury vacation rentals
 - Transportation optimization";http://www.vision-solutions.gr;;Développement de logiciels;2-10 employés;Vrilissia, Athens;2011;Enterprise Software, CRM, Intelligent Transport Systems, Luxury Tourism, Health & Safety et Data-Mining;Vision Solutions (Enterprise Software);https://www.linkedin.com/company/2377009/about/;2377Vi
85;We are the worldwide leader in outsourced omnichannel customer experience management. Teleperformance  connects  the biggest and most respected brands on the planet with their customers by providing  customer care, technical support, customer acquisition, digital solutions, analytics, back-office and other specialized services to ensure consistently positive customer interactions.;http://www.teleperformance.com;;Conseil en sous-traitance et externalisation à l’étranger;10 001 employés et plus;Paris, Île-de-France;1978;Omnichannel, Rightshore, Contact Center on Demand, Analytics Solutions, HomeBase, VIP Solutions, Sales, Digital Solutions, Face-to-Face, Internet Interactions, Technical Support, BPO, Credit and Collection, Social Media, Omnichannel, B2B et Customer Experience;Teleperformance;https://www.linkedin.com/company/5211/about/;5211Te
86;"BNP Paribas est une banque de premier plan en Europe avec un rayonnement international. Elle est présente dans 74 pays, avec plus de 192 000 collaborateurs, dont plus de  146 000 en Europe. 
Le Groupe détient des positions clés dans ses trois grands domaines d'activité : Domestic Markets et International Financial Services, dont les réseaux de banques de détail et les services financiers sont regroupés dans Retail Banking & Services, et Corporate & Institutional Banking, centré sur les clientèles Entreprises et Institutionnels. 
Le Groupe accompagne l’ensemble de ses clients (particuliers, associations, entrepreneurs, PME, grandes entreprises et institutionnels) pour les aider à réaliser leurs projets en leur proposant des services de financement, d’investissement, d’épargne et de protection.  
En Europe, le Groupe a quatre marchés domestiques (la Belgique, la France, l'Italie et le Luxembourg) et BNP Paribas Personal Finance est le 1er acteur spécialisé du financement aux particuliers en Europe. BNP Paribas développe également son modèle intégré de banque de détail dans les pays du bassin méditerranéen, en Turquie, en Europe de l’Est et a un réseau important dans l'Ouest des Etats-Unis. 
Dans ses activités Corporate & Institutional Banking et International Financial Services, BNP Paribas bénéficie d'un leadership en Europe, d'une forte présence dans les Amériques, ainsi que d'un dispositif solide et en forte croissance en Asie-Pacifique.";https://group.bnpparibas/en;;Services bancaires;10 001 employés et plus;;1848;Leader in banking , insurance and financial services;BNP Paribas;https://www.linkedin.com/company/1508/about/;1508BN
87;"« Forte de son histoire, de ses valeurs et de ses savoir-faire, La Mutuelle Générale s’engage à vos côtés et se réinvente jour après jour pour améliorer la qualité de vie et renforcer la solidarité entre les générations. »

Experte des métiers de l’assurance santé et de la prévoyance depuis 75 ans, La Mutuelle Générale assure 1,5 million de personnes et réalise un chiffre d’affaires de 1,2 milliard d’euros. Ses offres s’adressent aux entreprises de toutes tailles comme aux particuliers. 

En 2020, La Mutuelle Générale a diversifié ses activités en lançant une nouvelle activité de services aux entreprises destinés à faciliter la vie quotidienne de leurs salariés et à améliorer leur qualité de vie au travail. Elle sera bientôt ouverte au grand public.

 
Acteur de l’économie sociale et solidaire, La Mutuelle Générale mène toutes ses actions au bénéfice de ses adhérents, en mobilisant ses 1 900 collaborateurs et ses 1 500 élus bénévoles.
http://www.lamutuellegenerale.fr

Afin de garantir l’accès à des soins de qualité, innovants et au meilleur coût pour tous, La Mutuelle Générale accueille tous les patients, adhérents ou non-adhérents, dans ses deux centres mutualistes parisiens (Jack Senet & Broca) dotés de dispositifs médicaux à la pointe de l’innovation.
https://www.centre-jack-senet.fr/
";http://www.lamutuellegenerale.fr;;Assurances;1 001-5 000 employés;;1945;Assurance de personnes, Complémentaire santé, Prévoyance et Prévention;La Mutuelle Générale;https://www.linkedin.com/company/549462/about/;5494La
88;"Afin de rassembler sous une même entité l’ensemble des services et solutions indispensables à la gestion scientifique et la transformation digitale, IPTECH et AYD, deux entreprises actives depuis 10 ans, comptant une centaine de collaborateurs et leader dans leur secteur en Tunisie en Afrique du Nord et Subsaharienne se fondent sous une même ombrelle, Vneuron.
Nous avons développé notre approche innovante, le SPARK THINKING basé sur l’écoute active, l’expertise et la maitrise des nouvelles technologies de pointes comme l’intelligence artificielle et l’apprentissage automatique. Vneuron développe et implémente ses technologies adéquates les SPARK SOLUTIONS, pour éditer à la perfection des réponses plus qu’adaptées dans les métiers du Banking, Finance, Assurance, Santé, Grande distribution, Industrie et Gouvernance.
Vneuron est aussi une GREAT PLACE TO WORK, l’entreprise est génératrice d’emplois et nous portons un soin tout particulier au bien-être de tous les collaborateurs.     ";https://www.vneuron.com/;;Services et conseil informatiques;51-200 employés;Tunis , Tunis;2007;Machine Learning, Computer vision, Big Data Analytics, ERP, Artificial Intelligence, NLP, BPM, Digitization, Risk & Compliance, ECM, Chatbots et Document Management System;Vneuron;https://www.linkedin.com/company/9474003/about/;9474Vn
89;EL SPACE est un HUB d'Innovation Sociale situé au centre ville de Tunis, Tunisie. Nous accueillons des coworkers du monde entier, startup, entrepreneurs, indépendants, chercheurs, ingénieurs... Bon nombre d'événements sont organisés dans cet espace pour répondre aux différents problèmes sociaux rencontrés par la communauté au niveau national et à l'international. L'espace de coworking ce trouve au centre ville de Tunis, Tunisie.;https://www.elspace.org;27883887;Équipements collectifs;2-10 employés;Tunis, Gouvernorat de Tunis;2015;Coworking, Startup, Evenementiel et Innovation sociale;EL Space;https://www.linkedin.com/company/10613849/about/;1061EL
90;"We help compagnies gain actionable insights on their overall energy usage. Our Smart Energy Monitoring System identifies trends, waste sources and anomalies, in order to maintain an optimal energy consumption across all covered locations.

This will cut down your energy bill and reduce your carbon footprint.";http://www.wattnow.io;;Fabrication de semi-conducteurs pour énergies renouvelables;2-10 employés;Tunis, Tunis;2018;IoT, AI, Energy Efficiency et Energy Management;Wattnow;https://www.linkedin.com/company/11335866/about/;1133Wa
91;Vista is the design and marketing partner to millions of small businesses around the world. As a global, remote-first company, Vista has a growing footprint with team members working in more than 17 countries.  For over 20 years we’ve been inspired by small businesses and we work incessantly to deliver solutions to their evolving needs. Together, VistaCreate, 99designs by Vista and VistaPrint represent a full-service design, digital and print solution, elevating small businesses’ presence in physical and digital spaces and powering them to achieve success.  ;http://www.vistaprint.com;;Édition sur Internet;5 001-10 000 employés;Waltham, MA;1995;Small business marketing, Technology, Marketing, Microbusinesses, Software Engineering, Architecture, Finance, Manufacturing, design et eCommerce;Vista;https://www.linkedin.com/company/8095/about/;8095Vi
92;"AIESEC develops leadership among youth aged 18 to 30 and contributes to strengthening the global employability market by providing an end-to-end international talent recruitment solution for Enterprises, NGOs, and Start-ups.

AIESEC is the world's largest youth-run organization developing the leadership potential of young people. Present in 120+ countries and territories across 2600 universities, we provide students and recent graduates with life-changing experiences to intern or volunteer abroad within partner organizations. 

We partner with organizations ranging from Fortune 500 to local enterprises in developing and sourcing their global talent needs across our network. Through our programs in universities, we provide organizations with access to a global network of young talent who have the capabilities to make a positive impact.

For the last seven decades, we have developed over one million leaders ranging from business, civil society, and world leaders, including one Nobel Peace Prize Laureate. 

Learn more about us at - http://partners.aiesec.org";http://partners.aiesec.org;;Organisations à but non lucratif;10 001 employés et plus;Montreal, Quebec;1948;international internship, global talent sourcing, leadership opportunities, youth development, youth management, student, international volunteer program, youth leadership development, graduate recruitment, sustainable development goals, international recruitment, recruitment solutions, international talent recruitment, end-to-end talent recruitment, human resources, leadership, Talent Recruitment et Recruitment;AIESEC;https://www.linkedin.com/company/2034/about/;2034AI
93;Reevalo is an AI Real Estate Startup. Our main objective is to help professionals and individuals getting all information needed before making a real estate transaction. We leverage artificial intelligence and Big Data techniques to provide detailed, real-time analysis of Real Estate markets across the world. Our goal is to become an essential tool in the market. Our product is unique because our approach is unique.;;+33 9 70 46 64 51;Services et conseil informatiques;2-10 employés;Paris, Ile-de-France;2019;;Reevalo;https://www.linkedin.com/company/31163910/about/;3116Re
94;"axefinance est l’éditeur du logiciel ACP, une solution d'automatisation des crédits afin de gérer plus efficacement son processus et maîtriser son risque. Les institutions financières recherchent de plus en plus l'expertise et la valeur que nous offrons, la solution ACP contribue a converger les intérêts au sein de la banque (IT, Business, Risque, Operations, Innovations...)
De nombreuses banques dans le monde ont opté pour la solution ACP d'axefinance: Société Générale, Banque Internationale de Luxembourg, Al Rajhi Bank, First Abu Dhabi Bank FAB, Abu Dhabi Commercial Bank ADCB, Polaris Bank (ex Skyebank), Fidelity Bank.
Axe Credit Portal (ACP) est une solution hautement innovante et flexible utilisée par les institutions financières du monde entier pour mieux servir les clients de la banque avec des produits compétitifs, tout en maîtrisant les risques de crédits. 
Tous les intervenants du cycle de crédit collaborent sur une même plateforme à architecture moderne et flexible garantissant une facilité de déploiement et un retour rapide sur investissement.";http://www.axefinance.com;;Services et conseil informatiques;201-500 employés;Amsterdam, Amsterdam;2004;Credit Risk Management, Credit processing, Workflow, Collateral management, Consumer/Retail Lending, Loan origination, Commercial Lending, Loss & recovery / Collection management, Professional Services, Scoring and Financial Analysis, Global Limit Management, Loan origination software, SME Credit automation, Microfinance et Corporate Lending Digitalization;axefinance;https://www.linkedin.com/company/346837/about/;3468ax
95;"Fort d’une expérience de plus de 20 ans, Discovery Informatique  est un Groupe spécialisé dans les systèmes d’information, le Groupe figure parmi les plus anciennes SSII tunisiennes.

Le Groupe opère dans l’intégration de solutions ERP où il est le N°1 en Afrique du Nord, dans le développement Nearshore pour l’Europe.

Fort de ses ressources humaines hautement qualifiées, des certifications reconnues dans le domaine des nouvelles technologies et d’une infrastructure répondant aux différentes exigences, le Groupe offre à ses 500 clients une gamme complète de solutions orientée vers la performance des systèmes d’information.

Le Groupe compte aujourd’hui 120 collaborateurs répartis sur 3 agences en Tunisie, Algérie, Maroc. Afin de maintenir une proximité avec ses clients et leur apporter les solutions qui leur permettront d’agir avec plus de précision, d’efficacité et de rentabilité.";https://www.discoveryinformatique.com;;Développement de logiciels;51-200 employés;Tunis, tunis;1993;le Groupe Discovery est spécialisé dans la transformation digitale des entreprises et des institutions, et l’intégration de solutions de management et d’ERP;Discovery Informatique SA;https://www.linkedin.com/company/6565730/about/;6565Di
96;"Pour répondre aux besoins croissants de mobilité et accompagner l’ouverture du marché voyageur, SNCF Réseau s’est fixé pour objectif de développer l’offre ferroviaire sur les 30 000 km de ligne dont il assure l’entretien, la modernisation et la sécurité. 

Partenaire des pouvoirs publics et des territoires, garant d’un accès neutre et équitable à l’infrastructure, SNCF Réseau est le pivot du système ferroviaire français, au service des entreprises de transport et des autorités organisatrices qui constituent ses principaux clients. 

SNCF Réseau compte 54 000 collaborateurs pour un chiffre d’affaires 2018 de 6,3 milliards d’euros. 
";http://www.sncf-reseau.fr;;Transport routier;10 001 employés et plus;SAINT-DENIS, ILE DE FRANCE;2015;;SNCF Réseau;https://www.linkedin.com/company/15082918/about/;1508SN
97;"Bienvenue sur la page de Météo-France, service météo-climatique de référence.

Notre première mission est d’observer et de prévoir le temps à l'échelle du globe et d’avertir des dangers météorologiques sur le territoire français. Nous sommes également responsables de l’analyse du climat passé, présent et futur et un acteur reconnu de la recherche internationale sur le changement climatique. Ces missions mobilisent tous nos métiers et expertises, de la recherche fondamentale à la diffusion de l’information.

Notre rôle : éclairer les décisions des pouvoirs publics (l’État, les collectivités, les services d’urgence…), accompagner quotidiennement les citoyens et faciliter la prise de décision pour un grand nombre de secteurs économiques.

Notre objectif : développer des services météo-climatiques innovants et toujours plus fiables au bénéfice de tous.";https://meteofrance.com/;;Administration publique;1 001-5 000 employés;SAINT MANDE, France;1994;;METEO FRANCE;https://www.linkedin.com/company/83705/about/;8370ME
98;"In our world of rapid change, the need for reliable information to make confident decisions has never been greater.

At Ipsos we believe our clients need more than a data supplier, they need a partner who can produce accurate and relevant information and turn it into actionable truth.

This is why our passionately curious experts not only provide the most precise measurement, but shape it to provide True Understanding of Society, Markets and People.

To do this we use the best of science, technology and know-how and apply the principles of security, simplicity, speed and  substance to everything we do.

So that our clients can act faster, smarter and bolder.

Ultimately, success comes down to a simple truth: YOU ACT BETTER WHEN YOU ARE SURE

First listed on the Paris Stock Exchange: July 1, 1999

Total revenues in 2019: 2,003.3 million euros

Presence in 90 markets

Full-time employees: 18,000+

Clients around the world: 5,000+

43 million interviews conducted per year, of which 23 million online

Find out more about Ipsos at www.ipsos.com
Follow us on Twitter: @Ipsos";https://www.ipsos.com;;Études de marché;10 001 employés et plus;;1975;Market Research;Ipsos;https://www.linkedin.com/company/4318/about/;4318Ip
99;My Money Bank est une banque française indépendante, opérant dans les domaines du regroupement de crédits, du financement professionnel de l'immobilier, du financement automobile, du crédit à la consommation et du dépôt. Elle opère en France métropolitaine et dans les territoires d'outremer. Elle est proche de ses clients et de ses partenaires avec un siège social à Paris, un centre d'excellence opérationnel à Nantes, et une présence via ses filiales en Guyane Martinique,  Guadeloupe (Somafi-Soguafi), à la Réunion (Sorefi).;http://www.mymoneybank.com;;Services bancaires;501-1 000 employés;Courbevoie, Île-de-France;2017;;My Money Bank;https://www.linkedin.com/company/18006128/about/;1800My
100;"Depuis une dizaine d’années, clediss développe des logiciels mobiles pour la force de vente destinés aux professionnels itinérants. En Tunisie et au Maroc, nous occupons une place de pionnier sur ce marché. Nous nous sommes forgé une excellente réputation dans le domaine grâce à nos solutions mobiles comme Nomadis.Ce logiciel, qui est l’un de nos produits phares, est le fruit d’un savoir-faire acquis depuis plusieurs années. Il vous permet d’organiser facilement la livraison des commandes et d’optimiser l’itinéraire de votre livreur évitant ainsi les détours inutiles. Ainsi, les colis seront livrés plus vite et vous gagnez un temps précieux.

Nomadis se distingue aussi par le nombre de ses fonctionnalités. Vous pouvez retrouver dans cette solution des outils permettant d’afficher les produits disponibles dans vos stocks, les fiches clients, ou encore l’historique de vos visites. Sur le terrain, votre agent n’aura plus de difficulté pour répondre aux questions des clients relatifs à un produit en particulier. Notre application, compatible avec les appareils Android, permet également de créer un formulaire de recherches multicritères.";https://nomadis.online/;0021636321268;Développement de logiciels;11-50 employés;Riadh andalous , Ariana;2018;;CLEDISS;https://www.linkedin.com/company/12974329/about/;1297CL
101;"As one of the nation’s leading institutions in the study and research of engineering, architecture, industrial design, and information technology, Carleton’s comprehensive platform of programs provides students with an environment that is challenging, diverse and flexible.

The engineering and design professions are engines of economic growth and social change. Through the introduction of new products and technological innovations, our researchers and graduates continue to improve our standard of living. Carleton’s program offerings continue to grow and adapt to the changing needs of society so that our graduates have the knowledge and skills to shape the future. ";https://carleton.ca/engineering-design/;613-520-5790;Enseignement supérieur;201-500 employés;Ottawa, Ontario;1963;;Faculty of Engineering and Design - Carleton University;https://www.linkedin.com/company/68948790/about/;6894Fa
102;"Ilaneo est une agence digitale qui propose à ses clients une panoplie de prestations informatiques, allant du conseil et accompagnement jusqu’à la prise en main et la maintenance des projets Web et Mobile :

•	Création d’outils en Intranet/extranet : Gestion comptable, CRM,
•	Création de site internet : e-commerce, magazine, vitrine, place de marché, réseaux sociaux, 
•	Création d'applications Mobiles : Divertissement, santé, vente, communautaire

•	Mise en œuvre de plan opérationnel du marketing digital (SEO, SEA, SMO, e-mailing, …)";http://www.ilaneo.com;;Services et conseil informatiques;2-10 employés;;;e-commerce, Webmarketing, Développement Web, Développement Mobile et Stratégie Digitale d'entreprise;ILANEO;https://www.linkedin.com/company/10215872/about/;1021IL
103;"Notre société spécialisée dans le digital, SAP et le BI, est présente dans les domaines de la banque, de la finance, de l'assurance, du service et de l'industrie.

Les collaborateurs Streamlink développent un fort partenariat avec leurs clients afin de mieux appréhender leurs besoins, leurs exigences ou leurs attentes. 

Nous essayons toujours de construire une relation à long terme où la qualité et la confiance priment et permettent à tous de bâtir le chemin du succès. Vous aidez à relever vos défis fait parti de notre ADN au même titre que de vous fournir nos meilleurs experts.

Nous vous accompagnons dans toutes les étapes de votre projet, de la mission de conseil à l’intégration logicielle ou le développement spécifique jusqu’à l’infogérance de vos applications et de vos infrastructures.";http://streamlink.fr/;+33679175066;Services et conseil informatiques;51-200 employés;Paris, Levallois Perret;2016;Business Intelligence, SAP BI, SAP ERP, SAP BW, Tableau Software, Qlikview, QlikSense et Microsoft BI;Streamlink;https://www.linkedin.com/company/18408226/about/;1840St
104;"Créée en 2004, HLi Tunisie, filiale du Groupe HLi France, est spécialisée dans la mise en place des nouvelles technologies digitales et aide ses clients à gagner en performance, à améliorer leur qualité de service et à accroître leur positionnement sur le marché ainsi que leur chiffre d’affaire. 
HLi Tunisie intervient dans des domaines variés tels que les ERP, le CRM, le décisionnel, l’infogérance, le développement d’applications et la tierce maintenance applicative.";http://www.groupe-hli.com;;Services et conseil informatiques;51-200 employés;;2004;Transformation Digitale, CRM, Cloud, ERP, Infrastructure et Consulting;HLi Tunisie;https://www.linkedin.com/company/11039099/about/;1103HL
105;"la Société tunisienne de banque  est une banque tunisienne fondée le 18 janvier 1957. Elle a ouvert sa première succursale le 26 mars 1958 ...
La STB pionnière dans le développement du pays. 
Capital: 776.875,000 millions de dinars tunisiens.
La Meilleure Banque digitale en Afrique du Nord( Excellence Awards 2018 Arab Digital Banking )
https://youtu.be/Yf7w5vW84Ps";http://www.stb.com.tn;70140000;Services bancaires;1 001-5 000 employés;Tunis, Tunisie;1957;banque;STB Bank الشركة التونسية للبنك ;https://www.linkedin.com/company/28114598/about/;2811ST
106;"FabSkill est une plate-forme web offrant un processus de recrutement innovant basé sur l'intelligence artificielle , l’entretien vidéo et le rating collaboratif des candidats.

Fabskill a pour objectif de faire face aux problématiques liés aux entretiens d’embauche :

Coté candidats:
- Une meilleure orientation des candidats basée sur l'intelligence artificielle.
- Offrir les mêmes opportunités pour les candidats des zones intérieures ou les personnes à mobilité réduite grâce aux entretiens vidéos différées et ""lives""​ en évitant ainsi les problématiques de disponibilité et de déplacement.
- Un Processus ""fair""​ et équitable : Tous les candidats auront les mêmes chances d’être retenus puisqu’ils répondent aux entretiens dans les mêmes conditions (à distance + mêmes questions + même durée de réponse). Coté recruteur le choix du candidat se fait grâce au rating collaboratif ( équipe RH, Managers et différentes partie prenantes du processus recrutement).
- L'entretien vidéo permet de découvrir la personnalité et la motivation surtout pour les candidats peu expérimentés ayant souvent le même profil sur la base du CV.

Coté recruteur:

- Digitalisation du processus de recrutement et renvoi d'une marque employeur innovante.
- Réduire les candidatures spams et faciliter la détection des bons profils grâce à l’intelligence artificielle.
- Rating collaboratif et partage des candidatures pour impliquer les équipes RH et/ou opérationnelles dès la présélection des candidats.
- Une dimension sociale à l'entreprise en renvoyant l'image d'une structure qui économise des frais considérables de déplacement tout en gagnant du temps et en limitants des émissions supplémentaires évitables au niveau environnemental.
- Optimiser et alléger la tâche d’organisation et de gestion des campagnes et candidatures volumiques (annonces, tris des CVs, entretiens…).
- Gagner du temps et de l’argent.";https://fabskill.com;53196191;Services et conseil informatiques;11-50 employés;Tunis, Tunis;2017;emploi, recrutement, RH et Entretien;Fabskill;https://www.linkedin.com/company/28644374/about/;2864Fa
107;"We help chefs and communal food service providers, restaurants and other food-service companies to be more profitable and reduce food waste.

Our mission is to empower chefs and owners of food-service companies with the help of AI to reduce food waste, food cost and increase revenues.

How do we achieve this? 
Our web-based software, Mitakus, is a planning tool for chefs in the kitchen that integrates with existing systems, like cash-registers and ERP-software. Based on historical sales data and external factors, like weather, we provide crucial insights and forecasts for daily food servings. Also, we developed a recommendation system, which helps chef to automate the menu planning process and include external recipes and trends.

- Reduce overproduction by 60%
- Reduce food wastage by min. 40% 
- Reduce your food cost by 3-9%
- Increase your sales
- Decrease your labor cost

Website: https://mitakus.de/
""Launched at the Founder Institute""​
";https://mitakus.de/;;Développement de logiciels;2-10 employés;Munich, Bavaria;2018;Launched at the Founder Institute, Founder Institute, SaaS, Software, Artificial Intelligence, Analytics, Forecast, Business Intelligence, Food, Gastronomy, Hospitality, Restaurants et Canteens;Mitakus analytics;https://www.linkedin.com/company/18489761/about/;1848Mi
108;"(Apptiv-IT) ou Valomnia Labs est le centre de production, recherches et développement de l'entreprise Valomnia.

Nous croyons que le plus grand facteur dans la réussite d'une entreprise est la qualité de ses personnes. L'ensemble de notre équipe est en continuelle recherche pour attirer, recruter et former un personnel extraordinaire qui se démarque par la convivialité, l'intelligence, l'éthique du travail, l'empathie et la conscience de soi.

Avec une vaste gamme de talents individuels, nous sommes à la recherche des personnes ayant une variété de compétences et d'expérience.

Valomnia est une filiale de Proxym Group fondé en 2006. Avec ses différentes entités (Proxym France, Proxym-IT, Proxym Middle East, Chifco et Calys-IT) basée en France, au Royaume Uni, au Moyen Orient et en Tunisie, le groupe se spécialise dans les solutions d’entreprises, les projets e-government et e-administration, les applications mobiles et web, les ERP médicaux, les solutions e-banking, le e-commerce et les réseaux sociaux. Le Groupe s’appuie sur des équipes expérimentées, innovantes et multilingues avec une expertise technique diversifiée.";http://www.apptiv-it.com;;Développement de logiciels;11-50 employés;;2011;BtoB solution, Cloud Solution for sales force, Platform solution order made for Sales, ipad sales app, Mobile sales force automation, Sales application for iPad, Sales apps, M-commerce apps et Collaborative apps;Apptiv-IT - Valomnia Labs;https://www.linkedin.com/company/2490363/about/;2490Ap
109;Linkfluence transforms the way global brands collect, analyze, and leverage customer insights. With our leading social listening tools and team of local research analysts, we analyze real-time social data to help brands and agencies make better business decisions.;http://linkfluence.com;;Édition sur Internet;201-500 employés;;2006;social media monitoring, social media intelligence, social media research, social data intelligence, social media listening, crisis management, social data research, market research, trend analysis, consumer insights, consumer voice, trend forecasting, brand monitoring, brand tracking, social listening, social intelligence, influencer marketing, marketing, audience analysis, research, social insights, artificial intelligence, big data et online reputation;Linkfluence - a Meltwater company;https://www.linkedin.com/company/985687/about/;9856Li
110;"The Allianz Group is one of the world's leading insurers and asset managers with more than 100 million private and corporate customers in more than 70 countries. We are proud to be the Worldwide Insurance Partner of the Olympic & Paralympic Movements from 2021 until 2028 and to be recognized as one of the industry leaders in the Dow Jones Sustainability Index.

Caring for our employees, their ambitions, dreams and challenges is what makes us a unique employer. Together we can build an environment where everyone feels empowered and has the confidence to explore, to grow and to shape a better future for our customers and the world around us. Join us and together, let’s care for tomorrow. 

Credits: https://www.allianz.com/en_GB/credits-allianz-se.html 

Follow us on:
Twitter: twitter.com/Allianz
Instagram: https://www.instagram.com/teamallianz
Facebook: https://www.facebook.com/AllianzCareers 
Glassdoor: https://www.glassdoor.de/%C3%9Cberblick/Arbeit-bei-Allianz-EI_IE3062.11,18.htm

Allianz Data Privacy Statement: https://www.allianz.com/en_GB/privacy-statement.html 
Allianz Careers Data Privacy Statement: https://careers.allianz.com/en_EN/footer/data-privacy.html
LinkedIn Privacy Policy: https://www.linkedin.com/legal/privacy-policy
LinkedIn General Terms: https://www.linkedin.com/legal/user-agreement";https://careers.allianz.com;;Services financiers;10 001 employés et plus;;;Insurance, Asset Management et Financials;Allianz;https://www.linkedin.com/company/2979/about/;2979Al
111;ERM Partners est un cabinet de conseil et de formation professionnelle en Risk Management et Actuariat dans les secteurs de l'assurance, de la finance et de l'industrie.;http://www.erm-partners.com/;;Services financiers;2-10 employés;;;;ERM Partners TN;https://www.linkedin.com/company/22306839/about/;2230ER
